,Lat,Long,,Population,
[,50.621605,-116.079076,"""",0,"""]"
[,50.621605,-116.079076,"""",69,"""]"
[,50.621605,-116.079076,"""",15,"""]"
[,50.525567,-116.004054,"""",0,"""]"
[,50.525567,-116.004054,"""",0,"""]"
[,50.525567,-116.004054,"""",0,"""]"
[,50.525567,-116.004054,"""",5,"""]"
[,50.525567,-116.004054,"""",10,"""]"
[,50.525567,-116.004054,"""",10,"""]"
[,50.525567,-116.004054,"""",15,"""]"
[,50.525567,-116.004054,"""",0,"""]"
[,50.525567,-116.004054,"""",0,"""]"
[,50.525567,-116.004054,"""",0,"""]"
[,50.525567,-116.004054,"""",0,"""]"
[,50.525567,-116.004054,"""",25,"""]"
[,50.525567,-116.004054,"""",0,"""]"
[,50.525567,-116.004054,"""",104,"""]"
[,50.525567,-116.004054,"""",20,"""]"
[,50.525567,-116.004054,"""",40,"""]"
[,50.525567,-116.004054,"""",0,"""]"
[,50.525567,-116.004054,"""",38,"""]"
[,50.525567,-116.004054,"""",16,"""]"
[,50.525567,-116.004054,"""",10,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",5,"""]"
[,50.504012,-116.024927,"""",15,"""]"
[,50.504012,-116.024927,"""",5,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",5,"""]"
[,50.504012,-116.024927,"""",25,"""]"
[,50.504012,-116.024927,"""",5,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",38,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",18,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",17,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",5,"""]"
[,50.504012,-116.024927,"""",5,"""]"
[,50.504012,-116.024927,"""",20,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",37,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",5,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",10,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",0,"""]"
[,50.504012,-116.024927,"""",91,"""]"
[,50.504012,-116.024927,"""",133,"""]"
[,50.504012,-116.024927,"""",10,"""]"
[,50.511314,-116.033133,"""",10,"""]"
[,50.511314,-116.033133,"""",33,"""]"
[,50.511314,-116.033133,"""",0,"""]"
[,50.511314,-116.033133,"""",0,"""]"
[,50.511314,-116.033133,"""",53,"""]"
[,50.511314,-116.033133,"""",25,"""]"
[,50.511314,-116.033133,"""",15,"""]"
[,50.511314,-116.033133,"""",22,"""]"
[,50.511314,-116.033133,"""",0,"""]"
[,50.511314,-116.033133,"""",0,"""]"
[,50.511314,-116.033133,"""",0,"""]"
[,50.511314,-116.033133,"""",64,"""]"
[,50.511314,-116.033133,"""",154,"""]"
[,50.511314,-116.033133,"""",0,"""]"
[,50.505385,-116.030857,"""",32,"""]"
[,50.505385,-116.030857,"""",217,"""]"
[,50.505385,-116.030857,"""",61,"""]"
[,50.505385,-116.030857,"""",0,"""]"
[,50.505385,-116.030857,"""",0,"""]"
[,50.505385,-116.030857,"""",59,"""]"
[,50.505385,-116.030857,"""",31,"""]"
[,50.505385,-116.030857,"""",0,"""]"
[,50.505385,-116.030857,"""",5,"""]"
[,50.505385,-116.030857,"""",0,"""]"
[,50.505385,-116.030857,"""",10,"""]"
[,50.505385,-116.030857,"""",0,"""]"
[,50.505385,-116.030857,"""",15,"""]"
[,50.505385,-116.030857,"""",28,"""]"
